"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Wily Peralta",4600,"Cin@Mil 08:10PM ET",6.165,"Mil"
"SP","Vance Worley",4600,"Bal@Cle 07:10PM ET",7.033,"Bal"
"1B","Wil Myers",4600,"SD@Ari 09:40PM ET",7.489,"SD"
"3B","Nick Castellanos",4600,"Det@Oak 10:05PM ET",8.773,"Det"
"OF","Carlos Gonzalez",4500,"SF@Col 08:40PM ET",7.356,"Col"
"1B","Carlos Santana",4500,"Bal@Cle 07:10PM ET",8.000,"Cle"
"SP","Eddie Butler",4500,"SF@Col 08:40PM ET",10.608,"Col"
"SP","Jose Urena",4500,"Mia@Atl 07:35PM ET",1.989,"Mia"
"RP","Dylan Bundy",4500,"Bal@Cle 07:10PM ET",1.381,"Bal"
"OF","Angel Pagan",4400,"SF@Col 08:40PM ET",6.886,"SF"
"OF","Lorenzo Cain",4400,"CWS@KC 08:15PM ET",8.091,"KC"
"OF","Jay Bruce",4400,"Cin@Mil 08:10PM ET",8.070,"Cin"
"1B","Chris Davis",4400,"Bal@Cle 07:10PM ET",8.356,"Bal"
"SP","Christian Friedrich",4400,"SD@Ari 09:40PM ET",7.800,"SD"
"RP","Tyler Lyons",4400,"StL@Was 07:05PM ET",5.075,"StL"
"OF","Marcell Ozuna",4400,"Mia@Atl 07:35PM ET",9.043,"Mia"
"OF","Adam Eaton",4400,"CWS@KC 08:15PM ET",7.702,"CWS"
"SP","Chris Devenski",4400,"Hou@LAA 10:05PM ET",7.641,"Hou"
"SP","Mike Pelfrey",4300,"Det@Oak 10:05PM ET",5.417,"Det"
"SP","Dillon Gee",4300,"CWS@KC 08:15PM ET",8.495,"KC"
"3B","Josh Donaldson",4300,"Bos@Tor 07:07PM ET",8.938,"Tor"
"OF","Giancarlo Stanton",4300,"Mia@Atl 07:35PM ET",7.884,"Mia"
"RP","Taylor Jordan",4300,"StL@Was 07:05PM ET",0,"Was"
"2B","Dee Gordon",4300,"Mia@Atl 07:35PM ET",7.762,"Mia"
"OF","Jackie Bradley Jr.",4300,"Bos@Tor 07:07PM ET",9.435,"Bos"
"SP","Tyler Wilson",4300,"Bal@Cle 07:10PM ET",9.178,"Bal"
"OF","George Springer",4300,"Hou@LAA 10:05PM ET",9.042,"Hou"
"OF","Christian Yelich",4300,"Mia@Atl 07:35PM ET",8.419,"Mia"
"RP","Robert Gsellman",4300,"LAD@NYM 07:10PM ET",0,"NYM"
"OF","Yoenis Cespedes",4300,"LAD@NYM 07:10PM ET",10.452,"NYM"
"1B","Edwin Encarnacion",4200,"Bos@Tor 07:07PM ET",7.571,"Tor"
"OF","Gregor Blanco",4200,"SF@Col 08:40PM ET",4.371,"SF"
"3B","Todd Frazier",4200,"CWS@KC 08:15PM ET",9.234,"CWS"
"SS","Carlos Correa",4200,"Hou@LAA 10:05PM ET",8.000,"Hou"
"C","Trevor Brown",4200,"SF@Col 08:40PM ET",5.524,"SF"
"OF","Nomar Mazara",4200,"Pit@Tex 08:05PM ET",8.103,"Tex"
"1B","Victor Martinez",4100,"Det@Oak 10:05PM ET",7.522,"Det"
"1B","Joey Votto",4100,"Cin@Mil 08:10PM ET",6.489,"Cin"
"OF","Matt Kemp",4100,"SD@Ari 09:40PM ET",6.894,"SD"
"OF","Andrew McCutchen",4100,"Pit@Tex 08:05PM ET",8.500,"Pit"
"C","Welington Castillo",4100,"SD@Ari 09:40PM ET",7.649,"Ari"
"OF","Gerardo Parra",4100,"SF@Col 08:40PM ET",7.444,"Col"
"SP","Jordan Lyles",4100,"SF@Col 08:40PM ET",1.840,"Col"
"2B/3B","Chase d'Arnaud",4100,"Mia@Atl 07:35PM ET",6.615,"Atl"
"SP","Sean Nolin",4100,"Cin@Mil 08:10PM ET",0,"Mil"
"3B","Eugenio Suarez",4100,"Cin@Mil 08:10PM ET",7.043,"Cin"
"OF","Gregory Polanco",4100,"Pit@Tex 08:05PM ET",10.065,"Pit"
"OF","Jarrett Parker",4100,"SF@Col 08:40PM ET",4.600,"SF"
"SP","Cody Anderson",4100,"Bal@Cle 07:10PM ET",7.106,"Cle"
"SP","Christian Bergman",4100,"SF@Col 08:40PM ET",4.650,"Col"
"RP","Buddy Carlyle",4000,"LAD@NYM 07:10PM ET",0,"NYM"
"SP","Johan Santana",4000,"Bos@Tor 07:07PM ET",0,"Tor"
"RP","Jason Grilli",4000,"Mia@Atl 07:35PM ET",2.360,"Atl"
"SP","Jason Marquis",4000,"Cin@Mil 08:10PM ET",0,"Cin"
"RP","Joaquin Benoit",4000,"Min@Sea 10:10PM ET",2.444,"Sea"
"SP","Josh Beckett",4000,"LAD@NYM 07:10PM ET",0,"LAD"
"OF","Jayson Werth",4000,"StL@Was 07:05PM ET",6.512,"Was"
"RP","Rafael Soriano",4000,"Bos@Tor 07:07PM ET",0,"Tor"
"SP","Jake Peavy",4000,"SF@Col 08:40PM ET",6.255,"SF"
"RP","Fernando Rodney",4000,"SD@Ari 09:40PM ET",3.572,"SD"
"RP","Oliver Perez",4000,"StL@Was 07:05PM ET",2.539,"Was"
"RP","Francisco Rodriguez",4000,"Det@Oak 10:05PM ET",2.376,"Det"
"SP","Jeremy Guthrie",4000,"Pit@Tex 08:05PM ET",0,"Tex"
"RP","Ryan Madson",4000,"Det@Oak 10:05PM ET",2.521,"Oak"
"RP","Sean Burnett",4000,"Hou@LAA 10:05PM ET",0,"LAA"
"RP","Javier Lopez",4000,"SF@Col 08:40PM ET",0.680,"SF"
"RP","Chris Capuano",4000,"Cin@Mil 08:10PM ET",4.163,"Mil"
"RP","Scott Rice",4000,"LAD@NYM 07:10PM ET",0,"NYM"
"RP","Jason Frasor",4000,"Mia@Atl 07:35PM ET",0,"Atl"
"RP","Blaine Boyer",4000,"Cin@Mil 08:10PM ET",2.374,"Mil"
"RP","Chien-Ming Wang",4000,"CWS@KC 08:15PM ET",3.279,"KC"
"RP","Joel Hanrahan",4000,"Det@Oak 10:05PM ET",0,"Det"
"RP","Joel Peralta",4000,"Min@Sea 10:10PM ET",2.861,"Sea"
"RP","Dustin McGowan",4000,"Mia@Atl 07:35PM ET",2.688,"Mia"
"OF","Shin-soo Choo",4000,"Pit@Tex 08:05PM ET",5.429,"Tex"
"RP","Chad Qualls",4000,"SF@Col 08:40PM ET",1.033,"Col"
"RP","Santiago Casilla",4000,"SF@Col 08:40PM ET",3.660,"SF"
"SP","Edwin Jackson",4000,"Mia@Atl 07:35PM ET",2.067,"Mia"
"RP","Brandon League",4000,"LAD@NYM 07:10PM ET",0,"LAD"
"3B","David Wright",4000,"LAD@NYM 07:10PM ET",7.432,"NYM"
"RP","Jim Johnson",4000,"Mia@Atl 07:35PM ET",1.517,"Atl"
"SP","Gavin Floyd",4000,"Bos@Tor 07:07PM ET",4.244,"Tor"
"RP","Joe Blanton",4000,"LAD@NYM 07:10PM ET",3.720,"LAD"
"RP","Kevin Jepsen",4000,"Min@Sea 10:10PM ET",1.875,"Min"
"RP","Matt Albers",4000,"CWS@KC 08:15PM ET",2.124,"CWS"
"RP","Zach Duke",4000,"CWS@KC 08:15PM ET",1.550,"CWS"
"RP","Sergio Santos",4000,"NYY@TB 07:10PM ET",0,"NYY"
"RP","Jonathan Broxton",4000,"StL@Was 07:05PM ET",2.234,"StL"
"RP","Jesse Crain",4000,"CWS@KC 08:15PM ET",0,"CWS"
"RP","Pat Neshek",4000,"Hou@LAA 10:05PM ET",2.687,"Hou"
"RP","Carlos Villanueva",4000,"SD@Ari 09:40PM ET",3.484,"SD"
"SP","Josh Johnson",4000,"SD@Ari 09:40PM ET",0,"SD"
"RP","Joakim Soria",4000,"CWS@KC 08:15PM ET",2.752,"KC"
"RP","Dana Eveland",4000,"NYY@TB 07:10PM ET",1.363,"TB"
